8点40分	8點40分	8 dian3 40 fen1	8 diǎn 40 fēn	8:40 (time of day)
喂，你好。	喂，你好。	Wei2, ni3 hao3.	Wéi, nǐ hǎo.	Hello? (on the phone)
明天星期六。	明天星期六。	Ming2tian1 xing1qi1liu4．	Míngtiān xīngqīliù．	Tomorrow is Saturday.
我认识他。	我認識他。	Wo3 ren4shi ta1．	Wǒ rènshi tā．	I know him.
天气很好。	天氣很好。	Tian1qi4 hen3 hao3．	Tiānqì hěn hǎo．	The weather is good.
她不在饭店。	她不在飯店。	Ta1 bu2 zai4 fan4dian4．	Tā bú zài fàndiàn．	She is not at the hotel/restaurant.
她没去看电影。	她沒去看電影。	Ta1 mei2 qu4 kan4 dian4ying3．	Tā méi qù kàn diànyǐng．	She didn't go to the movie.
这是你的桌子吗？	這是你的桌子嗎？	Zhe4 shi4 ni3 de zhuo1zi ma?	Zhè shì nǐ de zhuōzi ma?	Is this your table?
我是老师，你呢？	我是老師，你呢？	Wo3 shi4 lao3shi1, ni3 ne?	Wǒ shì lǎoshī, nǐ ne?	I am a teacher. What about you?
那个人是谁？	那個人是誰？	Na4ge ren2 shi4 shei2?	Nàge rén shì shéi?	Who is that person?
这些杯子，你喜欢哪一个？	這些杯子，你喜歡哪一個？	Zhe4xie1 bei1zi， ni3 xi3huan na3 yi2 ge?	Zhèxiē bēizi， nǐ xǐhuan nǎ yí ge?	Which one of these cups do you like?
你想去哪儿？	你想去哪兒？	Ni3 xiang3 qu4 na3r?	Nǐ xiǎng qù nǎr?	Where do you want to go?
你爱吃什么水果？	你愛吃什麼水果？	Ni3 ai4 chi1 shen2me shui3guo3?	Nǐ ài chī shénme shuǐguǒ?	Which fruit do you like?
你们学校有多少学生？	你們學校有多少學生？	Ni3men xue2xiao4 you3 duo1shao xue2sheng?	Nǐmen xuéxiào yǒu duōshao xuésheng?	Your school has how many students?
你几岁了？	你幾歲了？	Ni3 ji3 sui4 le?	Nǐ jǐ suì le?	How old are you?
你怎么了？	你怎麼了？	Ni3 zen3me le?	Nǐ zěnme le?	Are you okay/What happened to you?
这本书怎么样？	這本書怎麼樣？	Zhe4 ben3 shu1 zen3meyang4?	Zhè běn shū zěnmeyàng?	How is this book?
请坐。	請坐。	Qing3 zuo4．	Qǐng zuò．	Have a seat.
太好了！	太好了！	Tai4 hao3 le!	Tài hǎo le!	That's great!
他是我的同学。	他是我的同學。	Ta1 shi4 wo3 de tong2xue2．	Tā shì wǒ de tóngxué．	He is my classmate.
一年有12个月。	一年有12個月。	Yin4ian2 you3 12 ge yue4．	Yìnián yǒu 12 ge yuè．	A year has 12 months.
我是昨天来的。	我是昨天來的。	Wo3 shi4 zuo2tian1 lai2 de．	Wǒ shì zuótiān lái de．	I arrived yesterday.
这是在火车站买的。	這是在火車站買的。	Zhe4 shi4 zai4 huo3che1zhan4 mai3 de．	Zhè shì zài huǒchēzhàn mǎi de．	I bought this at the train station. 
他是坐飞机来的。	他是坐飛機來的。	Ta1 shi4 zuo4 fei1ji1 lai2 de．	Tā shì zuò fēijī lái de．	He came here by plane.
他们在吃饭呢。	他們在吃飯呢。	Ta1men zai4 chi1 fan4 ne．	Tāmen zài chī fàn ne．	They are eating.

6元	6元	6 yuan2	6 yuán	RMB6
第三	第三	di4-san1	dì-sān	3rd
9公斤	9公斤	9 gong1jin1	9 gōngjīn	9kg
等一下。	等一下。	Deng3 yi2xia4．	Děng yíxià．	Wait a moment.
每次	每次	mei3 ci4	měi cì	Every time
你别去游泳了。	你別去游泳了。	Ni3 bie2 qu4 you2yong3 le．	Nǐ bié qù yóuyǒng le．	Don't go to swim
那里的天气非常热。	那裡的天氣非常熱。	Na4li3 de tian1qi4 fei1chang2 re4．	Nàlǐ de tiānqì fēicháng rè．	The weather there is very hot.
我最喜欢喝咖啡。	我最喜歡喝咖啡。	Wo3 zui4 xi3huan he1 ka1fei1．	Wǒ zuì xǐhuan hē kāfēi．	Coffee is my favourite drink.
他们一起去机场了。	他們一起去機場了。	Ta1men yi4qi3 qu4 ji1chang3 le．	Tāmen yìqǐ qù jīchǎng le．	They went to the airport together.
我们正在看电视。	我們正在看電視。	Wo3men zheng4zai4 kan4 dian4shi4．	Wǒmen zhèngzài kàn diànshì．	We are watching TV.
他已经到学校了。	他已經到學校了。	Ta1 yi3jing1 dao4 xue2xiao4 le．	Tā yǐjīng dào xuéxiào le．	He already arrived at school.
她下星期就回来了。	她下星期就回來了。	Ta1 xia4 xing1qi1 jiu4 hui2lai le．	Tā xià xīngqī jiù huílai le．	She is coming back next week.
我也有一块这样的手表。	我也有一塊這樣的手表。	Wo3 ye3 you3 yi2 kuai4 zhe4yang4 de shou3biao3．	Wǒ yě yǒu yí kuài zhèyàng de shǒubiǎo．	I also have a watch like this.
她还没起床。	她還沒起床。	Ta1 hai2 mei2 qi3chuang2．	Tā hái méi qǐchuáng．	She hasn't got up yet.
你的字写得真漂亮！	你的字寫得真漂亮！	Ni3 de zi4 xie3 de zhen1 piao4liang!	Nǐ de zì xiě de zhēn piàoliang!	Your handwriting is really good!
欢迎再来！	歡迎再來！	Huan1ying2 zai4 lai2!	Huānyíng zài lái!	Come back soon!
因为下雨，所以他没去踢足球。	因為下雨，所以他沒去踢足球。	Yin1wei4 xia4 yu3, suo3yi3 ta1 mei2 qu4 ti1 zu2qiu2.	Yīnwèi xià yǔ, suǒyǐ tā méi qù tī zúqiú.	Because it's raining, he didn't play football.
虽然下雨，但是他去踢足球。	雖然下雨，但是他去踢足球。	Sui1ran2 xia4 yu3, dan4shi4 ta1 qu4 ti1 zu2qiu2.	Suīrán xià yǔ, dànshì tā qù tī zúqiú.	Although it's raining, he played football. ×××
他80岁了，但是身体很好。	他80歲了，但是身體很好。	Ta1 80 sui4 le, dan4shi4 shen1ti3 hen3hao3.	Tā 80 suì le, dànshì shēntǐ hěnhǎo.	He is 80 years old, but he is very healthy.
她从中国回来了。	她從中國回來了。	Ta1 cong2 Zhong1guo2 hui2lai le．	Tā cóng Zhōngguó huílai le．	She came back from China.
他对我很好。	他對我很好。	Ta1 dui4 wo3 hen3 hao3．	Tā duì wǒ hěn hǎo．	He is nice to me.
我比她高。	我比她高。	Wo3 bi3 ta1 gao1．	Wǒ bǐ tā gāo．	I am taller than her.
向左走。	向左走。	Xiang4 zuo3 zou3．	Xiàng zuǒ zǒu．	Go left.
学校离我家很近。	學校離我家很近。	Xue2xiao4 li2 wo3 jia1 hen3 jin4．	Xuéxiào lí wǒ jiā hěn jìn．	School is close to my home.
现在你可以走了。	現在你可以走了。	Xian4zai4 ni3 ke3yi3 zou3 le．	Xiànzài nǐ kěyǐ zǒu le．	Now you can go.
我要学游泳。	我要學游泳。	Wo3 yao4 xue2 you2yong3．	Wǒ yào xué yóuyǒng．	I want to learn to swim.
明天可能下雨。	明天可能下雨。	Ming2tian1 ken3eng2 xia4 yu3．	Míngtiān kěnéng xià yǔ．	It might rain tomorrow.
书是哥哥的。	書是哥哥的。	Shu1 shi4 ge1ge de．	Shū shì gēge de．	The book is my older brother's.
那个杯子是我的。	那個杯子是我的。	Na4ge bei1zi shi4 wo3 de．	Nàge bēizi shì wǒ de．	That cup is mine.
这件衣服是最便宜的。	這件衣服是最便宜的。	Zhe4 jian4 yi1fu shi4 zui4 pian2yi de．	Zhè jiàn yīfu shì zuì piányi de．	This item of clothing is the cheapest.
我买了一些吃的。	我買了一些吃的。	Wo3 mai3le yi4xie1 chi1 de．	Wǒ mǎile yìxiē chī de．	I bought some food.
那边打电话的是我丈夫。	那邊打電話的是我丈夫。	Na4bian1 da3 dian4hua4 de shi4 wo3 zhang4fu．	Nàbiān dǎ diànhuà de shì wǒ zhàngfu．	My husband is making a phone call there.
你做的对。	你做的對。	Ni3 zuo4 de dui4．	Nǐ zuò de duì．	You did the right thing.
现在快10点了吧？	現在快10點了吧？	Xian4zai4 kuai4 10 dian3 le ba?	Xiànzài kuài 10 diǎn le ba?	It's almost 10 o'clock?
她笑着说：“明天见。”	她笑著說：“明天見。”	Ta1 xiao4zhe shuo1: "Ming2tian1 jian4."	Tā xiàozhe shuō: "Míngtiān jiàn."	She smiled and said "see you tomorrow."
我买了一本书。	我買了一本書。	Wo3 mai3le yi4 ben3 shu1．	Wǒ mǎile yì běn shū．	I bought a book.
我学过汉语。	我學過漢語。	Wo3 xue2guo Han4yu3．	Wǒ xuéguo Hànyǔ．	I studied Chinese before.
你去问问他。	你去問問他。	Ni3 qu4 wen4wen ta1．	Nǐ qù wènwen tā．	You go and ask him.
让我想一想。	讓我想一想。	Rang4 wo3 xiang3yixiang3．	Ràng wǒ xiǎngyixiǎng．	Let me have a think.
你是中国人吧？	你是中國人吧？	Ni3 shi4 Zhong1guo2ren2 ba?	Nǐ shì Zhōngguórén ba?	Are you Chinese?
他为什么没来？	他為什麼沒來？	Ta1 wei4 shen2me mei2 lai2?	Tā wèi shénme méi lái?	Why isn't he here?
从这儿到那儿多远？	從這兒到那兒多遠？	Cong2 zher4 dao4 na4r duo1 yuan3?	Cóng zhèr dào nàr duō yuǎn?	How far is it from here to there?
你喝不喝茶？	你喝不喝茶？	Ni3 he1buhe1 cha2?	Nǐ hēbuhē chá?	Do you want some tea? (lit. Do you drink tea?)
我们一起去，好吗？	我們一起去，好嗎？	Wo3men yi4qi3 qu4, hao3 ma?	Wǒmen yìqǐ qù, hǎo ma?	Can we go together?
别说话。	別說話。	Bie2 shuo1hua4．	Bié shuōhuà．	Don't speak.
不要吃太多。	不要吃太多。	Bu2 yao4 chi1 tai4 duo1．	Bú yào chī tài duō．	Don't eat too much.
真好吃！	真好吃！	Zhen1 hao3chi1!	Zhēn hǎochī!	Really yummy!
今天比昨天冷。	今天比昨天冷。	Jin1tian1 bi3 zuo2tian1 leng3．	Jīntiān bǐ zuótiān lěng．	Today is colder than yesterday.
他们正在打篮球。	他們正在打籃球。	Ta1men zheng4zai4 da3 lan2qiu2．	Tāmen zhèngzài dǎ lánqiú．	They are playing basketball.
他买了一斤苹果。	他買了一斤蘋果。	Ta1 mai3le yi4 jin1 ping2guo3．	Tā mǎile yì jīn píngguǒ．	He bought 500g of apples.
我看过这个电影。	我看過這個電影。	Wo3 kan4 guo4 zhe4 ge4 dian4 ying3.	Wǒ kàn guò zhè gè diàn yǐng.	I saw this movie.
火车要开了。	火車要開了。	Huo3che1 yao4 kai1 le．	Huǒchē yào kāi le．	The train is about to leave.
外面下着雨。	外面下著雨。	Wai4mian4 xia4zhe yu3.	Wàimiàn xiàzhe yǔ.	It's raining outside.

5点1刻	5點1刻	5 dian3 1 ke4	5 Diǎn 1 kè	Quarter past 5
10000米	10000米	10000 mi3	10000 Mǐ	10,000 meters
四五千个	四五千個	si4wu3qian1 ge4	Sìwǔqiān gè	4 or 5 thousand of
800多人	800多人	800 duo1 ren2	800 Duō rén	Over 800 people
一双鞋	一雙鞋	yi1shuang1 xie2	Yīshuāng xié	A pair of shoes
两条鱼	兩條魚	liang3 tiao2 yu2	Liǎng tiáo yú	Two fishies
第10层	第10層	di4 10 ceng2	Dì 10 céng	10th floor
3角5分	3角5分	jiao3 5 fen1 	Jiǎo 5 fēn 	35 cents
两种	兩種	liang3 zhong3	Liǎng zhǒng	Two types
他坐了一会儿。	他坐了一會兒。	ta1 zuo4le yi1hui3'er.	Tā zuòle yīhuǐ'er.	He stayed for a while. 
快一点儿。	快一點兒。	kuai4 yi1dian3 er.	Kuài yīdiǎn er.	Hurry up.
我明天一定来。	我明天一定來。	wo3 ming2tian1 yi1ding4 lai2.	Wǒ míngtiān yīdìng lái.	I'll come tomorrow for sure 
我们必须想个好办法。	我們必須想個好辦法。	wo3men bi4xu1 xiang3 ge4 hao3 ban4fa3.	Wǒmen bìxū xiǎng gè hǎo bànfǎ.	We have to think of a good plan.
明天会更好。	明天會更好。	ming2tian1 hui4 geng4 hao3.	Míngtiān huì gèng hǎo.	Tomorrow will be better.
雨越下越大。	雨越下越大。	yu3 yue4 xia4yue4 da4.	Yǔ yuè xiàyuè dà.	Rain is getting heavier.
这儿的西瓜特别甜。	這兒的西瓜特別甜。	zhe4'er de xi1gua1 te4bie2 tian2.	Zhè'er de xīguā tèbié tián.	The watermelon here is very sweet.
这些孩子多可爱呀！	這些孩子多可愛呀！	zhe4xie1 hai2zi duo1 ke3'ai4 ya!	Zhèxiē háizi duō kě'ài ya!	These children are so cute!
她唱得好极了！	她唱得好極了！	ta1 chang4 de hao3 ji2le!	Tā chàng de hǎo jíle!	She sang really well!
中国的大城市，我几乎都去过。	中國的大城市，我幾乎都去過。	zhong1guo2 de da4 cheng2shi4, wo3 ji1hu1 dou1 qu4guo4.	Zhōngguó de dà chéngshì, wǒ jīhū dōu qùguò.	Chinese big cities; I have been to almost all of them.
这些药一共300元。	這些藥一共300元。	zhe4xie1 yao4 yi1gong4 300 yuan2.	Zhèxiē yào yīgòng 300 yuán.	These medicines together are RMB300.
我只去过一次北京。	我隻去過一次北京。	wo3 zhi3 qu4guo4 yi1ci4 bei3jing1.	Wǒ zhǐ qùguò yīcì běijīng.	I've only been to Beijing once.
我先说几句。	我先說幾句。	wo3 xian1 shuo1 ji3 ju4.	Wǒ xiān shuō jǐ jù.	I will first say a few sentences.
他晚上11点才下班。	他晚上11點才下班。	ta1 wan3shang4 11 dian3 cai2 xia4ban1.	Tā wǎnshàng 11 diǎn cái xiàbān.	He didn't get off work until 11 in the evening.
他的成绩一直很好。	他的成績一直很好。	ta1 de cheng2ji1 yi1zhi2 hen3 hao3.	Tā de chéngjī yīzhí hěn hǎo.	His grades are always very good.
她总是很忙。	她總是很忙。	ta1 zong3 shi4 hen3 mang2.	Tā zǒng shì hěn máng.	She is always very busy.
请安静，节目马上开始。	請安靜，節目馬上開始。	qing3 an1jing4, jie2mu4 ma3shang4 kai1shi3.	Qǐng ānjìng, jiémù mǎshàng kāishǐ.	Please be quiet, the show is about to begin. 
考试终于结束了。	考試終於結束了。	kao3shi4 zhong1yu2 jie2shu4le.	Kǎoshì zhōngyú jiéshùle.	The exam finally ended.
这道题其实很容易。	這道題其實很容易。	zhe4 dao4 ti2 qi2shi2 hen3 rong2yi4.	Zhè dào tí qíshí hěn róngyì.	This problem is actually very easy.
那样做当然不可以。	那樣做當然不可以。	na4yang4 zuo4 dang1ran2 bu4 ke3yi3.	Nàyàng zuò dāngrán bù kěyǐ.	Doing that is of course not allowed.
今天他又迟到了。	今天他又遲到了。	jin1tian1 ta1 you4 chi2dao4le.	Jīntiān tā yòu chídàole.	He is late again today.
最近他经常去爬山。	最近他經常去爬山。	zui4jin4 ta1 jing1chang2 qu4 pa2shan1.	Zuìjìn tā jīngcháng qù páshān.	Recently he has often gone climbing.
房子虽然旧了，但是很干净。	房子雖然舊了，但是很干淨。	fang2zi sui1ran2 jiu4le, dan4shi4 hen3 gan1jing4.	Fángzi suīrán jiùle, dànshì hěn gānjìng.	Although the house is old, it is very clean.
虽然X，但是Y。	雖然X，但是Y。	sui1ran2 x, dan4shi4 y.	Suīrán X, dànshì Y.	Although X, Y.
她会说汉语，而且说得很好。	她會說漢語，而且說得很好。	ta1 hui4 shuo1 han4yu3, er2qie3 shuo1 de hen3 hao3.	Tā huì shuō hànyǔ, érqiě shuō de hěn hǎo.	She can speak Chinese, and can speak very well.
先吃饭，然后去看电影。	先吃飯，然后去看電影。	xian1 chi1fan4, ran2hou4 qu4 kan4 dian4ying3.	Xiān chīfàn, ránhòu qù kàn diànyǐng.	First eat, then watch a movie.
先X，然后Y。	先X，然后Y。	xian1 x, ran2hou4 y.	Xiān X, ránhòu Y.	First X, then Y.
如果大家都同意，就这样决定了。	如果大家都同意，就這樣決定了。	ru2guo3 da4jia1 dou1 tong2yi4, jiu4 zhe4yang4 jue2ding4le.	Rúguǒ dàjiā dōu tóngyì, jiù zhèyàng juédìngle.	If everyone agrees, then we'll decide on this.
他一边上网，一边听音乐。	他一邊上網，一邊聽音樂。	ta1 yi1bian1 shang4wang3, yi1bian1 ting1 yin1yue4.	Tā yībiān shàngwǎng, yībiān tīng yīnyuè.	He is web surfing, and also listening to music.
一边X，一边Y。	一邊X，一邊Y。	yi1bian1 x, yi1bian1 y.	Yībiān X, yībiān Y.	Doing X, and also Y at the same time.
给我打电话或者发电子邮件都可以。	給我打電話或者發電子郵件都可以。	gei3 wo3 da3 dian4hua4 huo4zhe3 fa1 dian4zi3 you2jian4 dou1 ke3yi3.	Gěi wǒ dǎ diànhuà huòzhě fā diànzǐ yóujiàn dōu kěyǐ.	Give me a call or send an email, both will do.
我们是打车还是坐地铁？	我們是打車還是坐地鐵？	wo3men shi4 da3che1 hai2shi4 zuo4 di4tie3?	Wǒmen shì dǎchē háishì zuò dìtiě?	Are we getting a taxi or taking the subway?
为了解决环境问题，人们想了很多办法。	為了解決環境問題，人們想了很多辦法。	wei4le jie3jue2 huan2jing4 wen4ti2, ren2men xiang3le hen3duo1 ban4fa3.	Wèile jiějué huánjìng wèntí, rénmen xiǎngle hěnduō bànfǎ.	To solve environmental problems, people think of a lot of solutions.
除了画画儿，她还喜欢跳舞。	除了畫畫兒，她還喜歡跳舞。	chu2le hua4 hua4 er, ta1 hai2 xi3huan tiao4wu3.	Chúle huà huà er, tā hái xǐhuan tiàowǔ.	Besides painting, she also likes to dance.
请把空调打开。	請把空調打開。	qing3 ba3 kong4tiao2 da3kai1.	Qǐng bǎ kòngtiáo dǎkāi.	Please switch on the air conditioning.
鱼被小猫吃了。	魚被小貓吃了。	yu2 bei4 xiao3 mao1 chi1le.	Yú bèi xiǎo māo chīle.	The fish was eaten by the cat.
关于这段历史，我知道得很少。	關於這段歷史，我知道得很少。	guan1yu2 zhe4 duan4 li4shi3, wo3 zhi1dao4 de hen3 shao3.	Guānyú zhè duàn lìshǐ, wǒ zhīdào de hěn shǎo.	About this piece of history, I know very little.
我们应该在周末开个会。	我們應該在周末開個會。	wo3men ying1gai1 zai4 zhou1mo4 kai1 ge4 hui4.	Wǒmen yīnggāi zài zhōumò kāi gè huì.	We should have a meeting at the weekend.
你愿意和我结婚吗？	你願意和我結婚嗎？	ni3 yuan4yi4 he2 wo3 jie2hun1 ma?	Nǐ yuànyì hé wǒ jiéhūn ma?	Are you willing to marry me?
你敢骑马吗？	你敢騎馬嗎？	ni3 gan3 qi2ma3 ma?	Nǐ gǎn qímǎ ma?	Do you dare to ride a horse?
她高兴地笑了。	她高興地笑了。	ta1 gao1xing4 de xiao4le.	Tā gāoxìng de xiàole.	She laughed happily.
他是经理吗？	他是經理嗎？	ta1 shi4 jing1li3 ma?	Tā shì jīnglǐ ma?	Is he the manager?
真漂亮啊！	真漂亮啊！	zhen1 piao4liang a!	Zhēn piàoliang a!	Very pretty!
他没去看电影。	他沒去看電影。	ta1 mei2 qu4 kan4 dian4ying3.	Tā méi qù kàn diànyǐng.	He didn't go to the movie.
你别忘了带护照。	你別忘了帶護照。	ni3 bie2 wang4le dai4 hu4zhao4.	Nǐ bié wàngle dài hùzhào.	Don't forget to bring your passport.
你决定了没有？	你決定了沒有？	ni3 jue2ding4le mei2you3?	Nǐ juédìngle méiyǒu?	have you decided yet?
您要两张票，对吗？	您要兩張票，對嗎？	nin2 yao4 liang3 zhang1 piao4, dui4 ma?	Nín yào liǎng zhāng piào, duì ma?	You need two tickets, right?
中午吃面条儿，可以吗？	中午吃面條兒，可以嗎？	zhong1wu3 chi1 mian4tiao2 er, ke3yi3 ma?	Zhōngwǔ chī miàntiáo er, kěyǐ ma?	Noodles for lunch, can we?
你喝茶还是喝咖啡？	你喝茶還是喝咖啡？	ni3 he1 cha2 hai2shi4 he1 ka1fei1?	Nǐ hē chá háishì hē kāfēi?	Do you want tea or coffee?
真干净！	真干淨！	zhen1 gan1jing4!	Zhēn gānjìng!	So clean!
他跑得多快啊！	他跑得多快啊！	ta1 pao3 de duo1 kuai4 a!	Tā pǎo de duō kuài a!	He ran very fast.
好极了！	好極了！	hao3 ji2le!	Hǎo jíle!	Great!
他和我一样高。	他和我一樣高。	ta1 he2 wo3 yi1yang4 gao1.	Tā hé wǒ yīyàng gāo.	He and I are the same height.
上海没有北京那么冷。	上海沒有北京那麼冷。	shang4hai3 mei2you3 bei3jing1 na4me leng3.	Shànghǎi méiyǒu běijīng nàme lěng.	Shanghai is not as cold as Beijing.
我把衣服洗了。	我把衣服洗了。	wo3 ba3 yi1fu2 xi3le.	Wǒ bǎ yīfú xǐle.	I had the clothes washed.
行李箱被司机拿走了。	行李箱被司機拿走了。	xing2li3xiang1 bei4 si1ji1 na2 zou3le.	Xínglǐxiāng bèi sījī ná zǒule.	The luggage was taken by the driver.
他每天骑车上班。	他每天騎車上班。	ta1 mei3 tian1 qi2 che1 shang4ban1.	Tā měi tiān qí chē shàngbān.	He bikes to work every day.
桌子上放着一本书。	桌子上放著一本書。	zhuo1zi shang4 fang4zhe yi1 ben3 shu1.	Zhuōzi shàng fàngzhe yī běn shū.	There is a book on the table.
小王叫我去他家玩儿。	小王叫我去他家玩兒。	xiao3 wang2 jiao4 wo3 qu4 ta1 jia1 wan2 er.	Xiǎo wáng jiào wǒ qù tā jiā wán er.	Xiao Wang asked me to his house to play.
不但…而且…	不但…而且…	bu4dan4… er2qie3	Bùdàn… érqiě	Not only... but also...
只有…才…	隻有…才…	zhi3you3… cai2…	Zhǐyǒu… cái…	Only... can...
我学中文很有『热情』。	我學中文很有『熱情』。	re4qing2	rèqíng	I am 『enthusiastic』 about studying Chinese.
今天我有很多『事情』要做。	今天我有很多『事情』要做。	shi4qing	shìqing	Today I have lots of 『things』 to do.
我『同意』你的话。	我『同意』你的話。	tong2yi4	tóngyì	I 『agree』 with what you said. 『(lit. same opinion)』
我『愿意』和你一起去。	我『願意』和你一起去。	yuan4yi4	yuànyì	I am 『willing』 to go with you. 
请大家『注意』。	請大家『注意。』	zhu4yi4	zhùyì	Please 『pay attention』 Everyone.
我对你做的菜很『满意』。	我對你做的菜很『滿意』。	man3yi4	mǎnyì	I am 『pleased』 with your cooking.
这是什么『意思』？	這是什麼『意思』？	yi4si	yìsi	What does this 『mean』?
我很『习惯』吃中国菜。	我很『習慣』吃中國菜。	xi2guan4	xíguàn	I am 『used to』 eating Chinese food.
我天天『练习』中文。	我天天『練習』中文。	lian4xi2	liànxí	I 『practice』 Chinese every day.
我『复习』汉语水平考试。	我『復習』漢語水平考試。	fu4xi2	fùxí	I am 『revising』 for the HSK exam.
我喜欢学『数学』。	我喜歡學『數學』。	shu4xue2	shùxué	I like studying 『maths』.
我在加拿大『留学』。	我在加拿大『留學』。	liu2xue2	liúxué	I am 『studying abroad』 in Canada.
我们的『校长』很胖。	我們的『校長』很胖。	xiao4zhang3	xiàozhǎng	Our 『principal/head』 is fat.
春节是中国最大的『节日』。	春節是中國最大的『節日』。	jier2i4	jiérì	Spring festival is China's biggest 『holiday』.
今天的电视『节目』很好看。	今天的電視『節目』很好看。	jie2mu4	jiémù	Today's TV 『programmes』 look very good.
我最喜欢的『季节』是夏季。	我最喜歡的『季節』是夏季。	ji4jie2	jìjié	My favourite 『season』 is summer.
我『先』吃饭，再去睡觉。	我『先』吃飯，再去睡覺。	xian1	xiān	I eat 『first』, then sleep.
你为什么『生气』	你為什麼『生氣』	sheng1qi4	shēngqì	Why are you 『upset』?
我喜欢和我妈妈『聊天』。	我喜歡和我媽媽『聊天』。	liao2tian1	liáotiān	I like to 『chat』 with my mother.
我们的花『特别』香。	我們的花『特別』香。	te4bie2	tèbié	Our flowers smell 『especially』 good.
我『不但』说中文，还说英文。	我『不但』說中文，還說英文。	bu2dan4	búdàn	I 『not only』 speak Chinese, also English.
你想吃包子『还是』饺子？	你想吃包子『還是』餃子？	hai2shi	háishi	Do you want to eat buns 『or』 dumplings?
你的三明治『总是』特别好吃！	你的三明治『總是』特別好吃！	zong3shi4	zǒngshì	Your sandwiches are 『always』 especiallys good!
我惊天『还』没有吃午饭。	我驚天『還』沒有吃午飯。	hai2	hái	I haven't eaten lunch today 『yet』.
