//New HSK (2013)/Level 1
爱[愛]	ài
机场[機場]	jīchǎng
鸡蛋[雞蛋]	jīdàn
件[件]	jiàn
教室[教室]	jiàoshì
姐姐[姐姐]	jiějie
介绍[介紹]	jièshào
进[進]	jìn
近[近]	jìn
就[就]	jiù
觉得[覺得]	juéde
咖啡[咖啡]	kāfēi
开始[開始]	kāishǐ
考试[考試]	kǎoshì
可能[可能]	kěnéng
可以[可以]	kěyǐ
课[課]	kè
快[快]	kuài
快乐[快樂]	kuàilè
累[累]	lèi
离[離]	lí
两[兩]	liǎng
零[零]	líng
路[路]	lù
旅游[旅游]	lǚyóu
卖[賣]	mài
慢[慢]	màn
忙[忙]	máng
每[每]	měi
妹妹[妹妹]	mèimei
门[門]	mén
面条[面條]	miàntiáo
男[男]	nán
您[您]	nín
牛奶[牛奶]	niúnǎi
女[女]	nǚ
旁边[旁邊]	pángbiān
跑步[跑步]	pǎobù
便宜[便宜]	piányi
票[票]	piào
妻子[妻子]	qīzi
起床[起床]	qǐ chuáng
千[千]	qiān
铅笔[鉛筆]	qiānbǐ
晴[晴]	qíng
去年[去年]	qùnián
让[讓]	ràng
日[日]	rì
上班[上班]	shàngbān
身体[身體]	shēntǐ
生病[生病]	shēngbìng
生日[生日]	shēngrì
时间[時間]	shíjiān
事情[事情]	shìqing
手表[手表]	shǒubiǎo
手机[手機]	shǒujī
说话[說話]	shuōhuà
送[送]	sòng
虽然[雖然]	suīrán
但是[但是]	dànshì
它[它]	tā
踢足球[踢足球]	tīzúqiú
题[題]	tí
跳舞[跳舞]	tiàowǔ
外[外]	wài
完[完]	wán
玩[玩]	wán
晚上[晚上]	wǎnshang
往[往]	wǎng
为什么[為什麼]	wèishénme
问[問]	wèn
问题[問題]	wèntí
西瓜[西瓜]	xīguā
希望[希望]	xīwàng
洗[洗]	xǐ
小时[小時]	xiǎoshí
笑[笑]	xiào
新[新]	xīn
姓[姓]	xìng
休息[休息]	xiūxi
雪[雪]	xuě
颜色[顏色]	yánsè
眼睛[眼睛]	yǎnjing
羊肉[羊肉]	yángròu
药[藥]	yào
要[要]	yào
也[也]	yě
一起[一起]	yìqǐ
一下[一下]	yíxià
已经[已經]	yǐjing
意思[意思]	yìsi
因为[因為]	yīnwèi
所以[所以]	suǒyǐ
阴[陰]	yīn
游泳[游泳]	yóuyǒng
右边[右邊]	yòubian
鱼[魚]	yú
远[遠]	yuǎn
运动[運動]	yùndòng
再[再]	zài
早上[早上]	zǎoshang
丈夫[丈夫]	zhàngfu
找[找]	zhǎo
着[著]	zhe
真[真]	zhēn
正在[正在]	zhèngzài
知道[知道]	zhīdao
准备[准備]	zhǔnbèi
走[走]	zǒu
最[最]	zuì
左边[左邊]	zuǒbian

//New HSK (2013)/Level 3
阿姨[阿姨]	āyí
啊[啊]	a
矮[矮]	ǎi
爱好[愛好]	àihào
安静[安靜]	ānjìng
把[把]	bǎ
班[班]	bān
搬[搬]	bān
办法[辦法]	bànfǎ
办公室[辦公室]	bàngōngshì
半[半]	bàn
帮忙[幫忙]	bāngmáng
包[包]	bāo
饱[飽]	bǎo
北方[北方]	běifāng
被[被]	bèi
鼻子[鼻子]	bízi
比较[比較]	bǐjiào
比赛[比賽]	bǐsài
笔记本[筆記本]	bǐjìběn
必须[必須]	bìxū
变化[變化]	biànhuà
别人[別人]	biéren
冰箱[冰箱]	bīngxiāng
不但[不但]	búdàn
而且[而且]	érqiě
菜单[菜單]	càidān
参加[參加]	cānjiā
草[草]	cǎo
层[層]	céng
差[差]	chà
超市[超市]	chāoshì
衬衫[襯衫]	chènshān
成绩[成績]	chéngjì
城市[城市]	chéngshì
迟到[遲到]	chídào
除了[除了]	chúle
船[船]	chuán
春[春]	chūn
词典[詞典]	cídiǎn
聪明[聰明]	cōngming
打扫[打掃]	dǎsǎo
打算[打算]	dǎsuàn
带[帶]	dài
担心[擔心]	dānxīn
蛋糕[蛋糕]	dàngāo
当然[當然]	dāngrán
地[地]	dì, de
灯[燈]	dēng
地方[地方]	dìfang
地铁[地鐵]	dìtiě
地图[地圖]	dìtú
电梯[電梯]	diàntī
电子邮件[電子郵件]	diànzǐ yóujiàn
东[東]	dōng
冬[冬]	dōng
动物[動物]	dòngwù
短[短]	duǎn
段[段]	duàn
锻炼[鍛煉]	duànliàn
多么[多麼]	duōme
饿[餓]	è
耳朵[耳朵]	ěrduo
发[發]	fā, fà
发烧[發燒]	fāshāo
发现[發現]	fāxiàn
方便[方便]	fāngbiàn
放[放]	fàng
放心[放心]	fàngxīn
分[分]	fēn, fèn
附近[附近]	fùjìn
复习[復習]	fùxí
干净[干淨]	gānjìng
感冒[感冒]	gǎnmào
感兴趣[感興趣]	gǎn xìngqù
刚才[剛才]	gāngcái
个子[個子]	gèzi
根据[根據]	gēnjù
跟[跟]	gēn
更[更]	gèng
公斤[公斤]	gōngjīn
公园[公園]	gōngyuán
故事[故事]	gùshi
刮风[刮風]	guāfēng
关[關]	guān
关系[關系]	guānxi
关心[關心]	guānxīn
关于[關於]	guānyú
国家[國家]	guójiā
过[過]	guò
过去[過去]	guòqù
还是[還是]	háishi
害怕[害怕]	hàipà
黑板[黑板]	hēibǎn
后来[后來]	hòulái
护照[護照]	hùzhào
花[花]	huā
画[畫]	huà
坏[壞]	huài
欢迎[歡迎]	huānyíng
还[還]	hái
环境[環境]	huánjìng
换[換]	huàn
黄河[黃河]	huánghé
回答[回答]	huídá
会议[會議]	huìyì
或者[或者]	huòzhě
几乎[幾乎]	jīhū
机会[機會]	jīhuì
极[極]	jí
记得[記得]	jìde
季节[季節]	jìjié
检查[檢查]	jiǎnchá
简单[簡單]	jiǎndān
见面[見面]	jiànmiàn
健康[健康]	jiànkāng
讲[講]	jiǎng
教[教]	jiāo, jiào
角[角]	jiǎo, jué
脚[腳]	jiǎo
接[接]	jiē
街道[街道]	jiēdào
节目[節目]	jiémù
节日[節日]	jiérì
结婚[結婚]	jiéhūn
结束[結束]	jiéshù
解决[解決]	jiějué
借[借]	jiè
经常[經常]	jīngcháng
经过[經過]	jīngguò
经理[經理]	jīnglǐ
久[久]	jiǔ
旧[舊]	jiù
句子[句子]	jùzi
决定[決定]	juédìng
可爱[可愛]	kě'ài
渴[渴]	kě
刻[刻]	kè
客人[客人]	kèrén
空调[空調]	kōngtiáo
口[口]	kǒu
哭[哭]	kū
裤子[褲子]	kùzi
筷子[筷子]	kuàizi
蓝[藍]	lán
老[老]	lǎo
离开[離開]	líkāi
礼物[禮物]	lǐwù
历史[歷史]	lìshǐ
脸[臉]	liǎn
练习[練習]	liànxí
辆[輛]	liàng
聊天[聊天]	liáotiān
了解[了解]	liǎojiě
邻居[鄰居]	línjū
留学[留學]	liúxué
楼[樓]	lóu
绿[綠]	lǜ
马[馬]	mǎ
马上[馬上]	mǎshàng
满意[滿意]	mǎnyì
帽子[帽子]	màozi
米[米]	mǐ
面包[面包]	miànbāo
明白[明白]	míngbai
拿[拿]	ná
奶奶[奶奶]	nǎinai
南[南]	nán
难[難]	nán
难过[難過]	nánguò
年级[年級]	niánjí
年轻[年輕]	niánqīng
鸟[鳥]	niǎo
努力[努力]	nǔlì
爬山[爬山]	páshān
盘子[盤子]	pánzi
胖[胖]	pàng
皮鞋[皮鞋]	píxié
啤酒[啤酒]	píjiǔ
瓶子[瓶子]	píngzi
其实[其實]	qíshí
其他[其他]	qítā
奇怪[奇怪]	qíguài
骑[騎]	qí
起飞[起飛]	qǐfēi
起来[起來]	qǐlai
清楚[清楚]	qīngchu
请假[請假]	qǐngjià
秋[秋]	qiū
裙子[裙子]	qúnzi
然后[然后]	ránhòu
热情[熱情]	rèqíng
认为[認為]	rènwéi
认真[認真]	rènzhēn
容易[容易]	róngyì
如果[如果]	rúguǒ
伞[傘]	sǎn
上网[上網]	shàngwǎng
生气[生氣]	shēngqì
声音[聲音]	shēngyīn
世界[世界]	shìjiè
试[試]	shì
瘦[瘦]	shòu
叔叔[叔叔]	shūshu
舒服[舒服]	shūfu
树[樹]	shù
数学[數學]	shùxué
刷牙[刷牙]	shuāyá
双[雙]	shuāng
水平[水平]	shuǐpíng
司机[司機]	sījī
太阳[太陽]	tàiyáng
特别[特別]	tèbié
疼[疼]	téng
提高[提高]	tígāo
体育[體育]	tǐyù
甜[甜]	tián
条[條]	tiáo
同事[同事]	tóngshì
同意[同意]	tóngyì
头发[頭發]	tóufa
突然[突然]	tūrán
图书馆[圖書館]	túshūguǎn
腿[腿]	tuǐ
完成[完成]	wánchéng
碗[碗]	wǎn
万[萬]	wàn
忘记[忘記]	wàngjì
为[為]	wèi
为了[為了]	wèile
位[位]	wèi
文化[文化]	wénhuà
西[西]	xī
习惯[習慣]	xíguàn
洗手间[洗手間]	xǐshǒujiān
洗澡[洗澡]	xǐzǎo
夏[夏]	xià
先[先]	xiān
相信[相信]	xiāngxìn
香蕉[香蕉]	xiāngjiāo
向[向]	xiàng
像[像]	xiàng
小心[小心]	xiǎoxīn
校长[校長]	xiàozhǎng
新闻[新聞]	xīnwén
新鲜[新鮮]	xīnxiān
信用卡[信用卡]	xìnyòngkǎ
行李箱[行李箱]	xínglǐxiāng
熊猫[熊貓]	xióngmāo
需要[需要]	xūyào
选择[選擇]	xuǎnzé
要求[要求]	yāoqiú
爷爷[爺爺]	yéye
一般[一般]	yìbān
一边[一邊]	yìbiān
一定[一定]	yídìng
一共[一共]	yígòng
一会儿[一會兒]	yíhuìr
一样[一樣]	yíyàng
一直[一直]	yìzhí
以前[以前]	yǐqián
音乐[音樂]	yīnyuè
银行[銀行]	yínháng
饮料[飲料]	yǐnliào
应该[應該]	yīnggāi
影响[影響]	yǐngxiǎng
用[用]	yòng
游戏[游戲]	yóuxì
有名[有名]	yǒumíng
又[又]	yòu
遇到[遇到]	yùdào
元[元]	yuán
愿意[願意]	yuànyì
月亮[月亮]	yuèliang
越[越]	yuè
站[站]	zhàn
张[張]	zhāng
长[長]	cháng, zhǎng
着急[著急]	zháojí
照顾[照顧]	zhàogu
照片[照片]	zhàopiàn
照相机[照相機]	zhàoxiàngjī
只[隻]	zhī, zhǐ
只有[隻有]	zhǐyǒu
才[才]	cái
中间[中間]	zhōngjiān
中文[中文]	Zhōngwén
终于[終於]	zhōngyú
种[種]	zhǒng
重要[重要]	zhòngyào
周末[周末]	zhōumò
主要[主要]	zhǔyào
注意[注意]	zhùyì
自己[自己]	zìjǐ
自行车[自行車]	zìxíngchē
总是[總是]	zǒngshì
嘴[嘴]	zuǐ
最后[最后]	zuìhòu
最近[最近]	zuìjìn
作业[作業]	zuòyè

//New HSK (2013)/Level 4
爱情[愛情]	àiqíng
安排[安排]	ānpái
安全[安全]	ānquán
按时[按時]	ànshí
按照[按照]	ànzhào
百分之[百分之]	bǎifēnzhī
棒[棒]	bàng
包子[包子]	bāozi
保护[保護]	bǎohù
保证[保證]	bǎozhèng
报名[報名]	bào míng
抱[抱]	bào
抱歉[抱歉]	bàoqiàn
倍[倍]	bèi
本来[本來]	běnlái
笨[笨]	bèn
比如[比如]	bǐrú
毕业[畢業]	bì yè
遍[遍]	biàn
标准[標准]	biāozhǔn
表格[表格]	biǎogé
表示[表示]	biǎoshì
表演[表演]	biǎoyǎn
表扬[表揚]	biǎoyáng
饼干[餅幹]	bǐnggān
并且[並且]	bìngqiě
博士[博士]	bóshì
不得不[不得不]	bù dé bù
不管[不管]	bùguǎn
不过[不過]	búguò
不仅[不僅]	bùjǐn
部分[部分]	bùfen
擦[擦]	cā
猜[猜]	cāi
材料[材料]	cáiliào
参观[參觀]	cānguān
餐厅[餐廳]	cāntīng
厕所[廁所]	cèsuǒ
差不多[差不多]	chàbuduō
长城[長城]	chángchéng
长江[長江]	Chángjiāng
尝[嘗]	cháng
场[場]	chǎng
超过[超過]	chāoguò
成功[成功]	chénggōng
成为[成爲]	chéngwéi
诚实[誠實]	chéngshí
乘坐[乘坐]	chéngzuò
吃惊[吃驚]	chī jīng
重新[重新]	chóngxīn
抽烟[抽煙]	chōuyān
出差[出差]	chū chāi
出发[出發]	chūfā
出生[出生]	chūshēng
出现[出現]	chūxiàn
厨房[廚房]	chúfáng
传真[傳真]	chuánzhēn
窗户[窗戶]	chuānghu
词语[詞語]	cíyǔ
从来[從來]	cónglái
粗心[粗心]	cūxīn
存[存]	cún
错误[錯誤]	cuòwù
答案[答案]	dá'àn
打扮[打扮]	dǎban
打扰[打擾]	dǎrǎo
打印[打印]	dǎyìn
打招呼[打招呼]	dǎzhāohu
打折[打折]	dǎzhé
打针[打針]	dǎzhēn
大概[大概]	dàgài
大使馆[大使館]	dàshǐguǎn
大约[大約]	dàyuē
大夫[大夫]	dàifu
戴[戴]	dài
当[當]	dāng
当时[當時]	dāngshí
刀[刀]	dāo
导游[導遊]	dǎoyóu
到处[到處]	dàochù
到底[到底]	dào dǐ
倒[倒]	dǎo, dào
道歉[道歉]	dàoqiàn
得意[得意]	déyì
得[得]	de
登机牌[登機牌]	dēngjīpái
等[等]	děng
低[低]	dī
底[底]	dǐ
地点[地點]	dìdiǎn
地球[地球]	dìqiú
地址[地址]	dìzhǐ
调查[調查]	diàochá
掉[掉]	diào
丢[丟]	diū
动作[動作]	dòngzuò
堵车[堵車]	dǔchē
肚子[肚子]	dùzi
短信[短信]	duǎnxìn
对话[對話]	duìhuà
对面[對面]	duìmiàn
对于[對于]	duìyú
儿童[兒童]	értóng
而[而]	ér
发生[發生]	fāshēng
发展[發展]	fāzhǎn
法律[法律]	fǎlǜ
翻译[翻譯]	fānyì
烦恼[煩惱]	fánnǎo
反对[反對]	fǎnduì
方法[方法]	fāngfǎ
方面[方面]	fāngmiàn
方向[方向]	fāngxiàng
房东[房東]	fángdōng
放弃[放棄]	fàngqì
放暑假[放暑假]	fàng shǔjià
放松[放松]	fàngsōng
份[份]	fèn
丰富[豐富]	fēngfù
否则[否則]	fǒuzé
符合[符合]	fúhé
父亲[父親]	fùqin
付款[付款]	fù kuǎn
负责[負責]	fùzé
复印[複印]	fùyìn
复杂[複雜]	fùzá
富[富]	fù
改变[改變]	gǎibiàn
干杯[幹杯]	gān bēi
赶[趕]	gǎn
敢[敢]	gǎn
感动[感動]	gǎndòng
感觉[感覺]	gǎnjué
感情[感情]	gǎnqíng
感谢[感謝]	gǎnxiè
干[幹]	gān
刚[剛]	gāng
高速公路[高速公路]	gāosù gōnglù
胳膊[胳膊]	gēbo
各[各]	gè
工资[工資]	gōngzī
公里[公裏]	gōnglǐ
功夫[功夫]	gōngfu
共同[共同]	gòngtóng
购物[購物]	gòuwù
够[夠]	gòu
估计[估計]	gūjì
鼓励[鼓勵]	gǔlì
故意[故意]	gùyì
顾客[顧客]	gùkè
挂[挂]	guà
关键[關鍵]	guānjiàn
观众[觀衆]	guānzhòng
管理[管理]	guǎnlǐ
光[光]	guāng
广播[廣播]	guǎngbō
广告[廣告]	guǎnggào
逛[逛]	guàng
规定[規定]	guīdìng
国籍[國籍]	guójí
国际[國際]	guójì
果汁[果汁]	guǒzhī
过程[過程]	guòchéng
海洋[海洋]	hǎiyáng
害羞[害羞]	hài xiū
寒假[寒假]	hánjià
汗[汗]	hàn
航班[航班]	hángbān
好处[好處]	hǎochu
好像[好像]	hǎoxiàng
号码[號碼]	hàomǎ
合格[合格]	hégé
合适[合適]	héshì
盒子[盒子]	hézi
后悔[後悔]	hòuhuǐ
厚[厚]	hòu
互联网[互聯網]	Hùliánwǎng
互相[互相]	hùxiāng
护士[護士]	hùshi
怀疑[懷疑]	huáiyí
回忆[回憶]	huíyì
活动[活動]	huódòng
活泼[活潑]	huópo
火[火]	huǒ
获得[獲得]	huòdé
积极[積極]	jījí
积累[積累]	jīlěi
基础[基礎]	jīchǔ
激动[激動]	jīdòng
及时[及時]	jíshí
即使[即使]	jíshǐ
计划[計劃]	jìhuà
记者[記者]	jìzhě
技术[技術]	jìshù
既然[既然]	jìrán
继续[繼續]	jìxù
寄[寄]	jì
加班[加班]	jiā bān
加油站[加油站]	jiāyóuzhàn
家具[家具]	jiājù
假[假]	jiǎ, jià
价格[價格]	jiàgé
坚持[堅持]	jiānchí
减肥[減肥]	jiǎnféi
减少[減少]	jiǎnshǎo
建议[建議]	jiànyì
将来[將來]	jiānglái
奖金[獎金]	jiǎngjīn
降低[降低]	jiàngdī
降落[降落]	jiàngluò
交[交]	jiāo
交流[交流]	jiāoliú
交通[交通]	jiāotōng
郊区[郊區]	jiāoqū
骄傲[驕傲]	jiāo'ào
饺子[餃子]	jiǎozi
教授[教授]	jiàoshòu
教育[教育]	jiàoyù
接受[接受]	jiēshòu
接着[接著]	jiēzhe
节[節]	jié
节约[節約]	jiéyuē
结果[結果]	jiéguǒ
解释[解釋]	jiěshì
尽管[盡管]	jǐnguǎn
紧张[緊張]	jǐnzhāng
进行[進行]	jìnxíng
禁止[禁止]	jìnzhǐ
京剧[京劇]	jīngjù
经济[經濟]	jīngjì
经历[經曆]	jīnglì
经验[經驗]	jīngyàn
精彩[精彩]	jīngcǎi
景色[景色]	jǐngsè
警察[警察]	jǐngchá
竞争[競爭]	jìngzhēng
竟然[竟然]	jìngrán
镜子[鏡子]	jìngzi
究竟[究竟]	jiūjìng
举[舉]	jǔ
举办[舉辦]	jǔbàn
举行[舉行]	jǔxíng
拒绝[拒絕]	jùjué
距离[距離]	jùlí
聚会[聚會]	jùhuì
开玩笑[開玩笑]	kāi wánxiào
开心[開心]	kāixīn
看法[看法]	kànfǎ
考虑[考慮]	kǎolǜ
烤鸭[烤鴨]	kǎoyā
科学[科學]	kēxué
棵[棵]	kē
咳嗽[咳嗽]	késou
可怜[可憐]	kělián
可是[可是]	kěshì
可惜[可惜]	kěxī
客厅[客廳]	kètīng
肯定[肯定]	kěndìng
空[空]	kōng, kòng
空气[空氣]	kōngqì
恐怕[恐怕]	kǒngpà
苦[苦]	kǔ
矿泉水[礦泉水]	kuàngquánshuǐ
困[困]	kùn
困难[困難]	kùnnan
垃圾桶[垃圾桶]	lājītǒng
拉[拉]	lā
辣[辣]	là
来不及[來不及]	lái bu jí
来得及[來得及]	lái de jí
来自[來自]	láizì
懒[懶]	lǎn
浪费[浪費]	làngfèi
浪漫[浪漫]	làngmàn
老虎[老虎]	lǎohǔ
冷静[冷靜]	lěngjìng
礼拜天[禮拜天]	lǐbàitiān
礼貌[禮貌]	lǐmào
理发[理發]	lǐfà
理解[理解]	lǐjiě
理想[理想]	lǐxiǎng
力气[力氣]	lìqi
厉害[厲害]	lìhai
例如[例如]	lìrú
俩[倆]	liǎng
连[連]	lián
联系[聯系]	liánxì
凉快[涼快]	liángkuai
零钱[零錢]	língqián
另外[另外]	lìngwài
留[留]	liú
流利[流利]	liúlì
流行[流行]	liúxíng
旅行[旅行]	lǚxíng
律师[律師]	lǜshī
乱[亂]	luàn
麻烦[麻煩]	máfan
马虎[馬虎]	mǎhu
满[滿]	mǎn
毛[毛]	máo
毛巾[毛巾]	máojīn
美丽[美麗]	měilì
梦[夢]	mèng
迷路[迷路]	mílù
密码[密碼]	mìmǎ
免费[免費]	miǎn fèi
秒[秒]	miǎo
民族[民族]	mínzú
母亲[母親]	mǔqin
目的[目的]	mùdì
耐心[耐心]	nàixīn
难道[難道]	nándào
难受[難受]	nánshòu
内[內]	nèi
内容[內容]	nèiróng
能力[能力]	nénglì
年龄[年齡]	niánlíng
弄[弄]	nòng
暖和[暖和]	nuǎnhuo
偶尔[偶爾]	ǒu'ěr
排队[排隊]	pái duì
排列[排列]	páiliè
判断[判斷]	pànduàn
陪[陪]	péi
批评[批評]	pīpíng
皮肤[皮膚]	pífū
脾气[脾氣]	píqi
篇[篇]	piān
骗[騙]	piàn
乒乓球[乒乓球]	pīngpāngqiú
平时[平時]	píngshí
破[破]	pò
葡萄[葡萄]	pútao
普遍[普遍]	pǔbiàn
普通话[普通話]	pǔtōnghuà
其次[其次]	qícì
其中[其中]	qízhōng
气候[氣候]	qìhòu
千万[千萬]	qiānwàn
签证[簽證]	qiānzhèng
敲[敲]	qiāo
桥[橋]	qiáo
巧克力[巧克力]	qiǎokèlì
亲戚[親戚]	qīnqi
轻[輕]	qīng
轻松[輕松]	qīngsōng
情况[情況]	qíngkuàng
穷[窮]	qióng
区别[區別]	qūbié
取[取]	qǔ
全部[全部]	quánbù
缺点[缺點]	quēdiǎn
缺少[缺少]	quēshǎo
却[卻]	què
确实[確實]	quèshí
然而[然而]	rán'ér
热闹[熱鬧]	rènao
任何[任何]	rènhé
任务[任務]	rènwu
扔[扔]	rēng
仍然[仍然]	réngrán
日记[日記]	rìjì
入口[入口]	rùkǒu
散步[散步]	sàn bù
森林[森林]	sēnlín
沙发[沙發]	shāfā
伤心[傷心]	shāngxīn
商量[商量]	shāngliang
稍微[稍微]	shāowēi
勺子[勺子]	sháozi
社会[社會]	shèhuì
申请[申請]	shēnqǐng
深[深]	shēn
甚至[甚至]	shènzhì
生活[生活]	shēnghuó
生命[生命]	shēngmìng
生意[生意]	shēngyi
省[省]	shěng
剩[剩]	shèng
失败[失敗]	shībài
失望[失望]	shīwàng
师傅[師傅]	shīfu
十分[十分]	shífēn
实际[實際]	shíjì
实在[實在]	shízài
使[使]	shǐ
使用[使用]	shǐyòng
世纪[世紀]	shìjì
是否[是否]	shìfǒu
适合[適合]	shìhé
适应[適應]	shìyìng
收[收]	shōu
收入[收入]	shōurù
收拾[收拾]	shōushi
首都[首都]	shǒudū
首先[首先]	shǒuxiān
受不了[受不了]	shòu bu liǎo
受到[受到]	shòudào
售货员[售貨員]	shòuhuòyuán
输[輸]	shū
熟悉[熟悉]	shúxī
数量[數量]	shùliàng
数字[數字]	shùzì
帅[帥]	shuài
顺便[順便]	shùnbiàn
顺利[順利]	shùnlì
顺序[順序]	shùnxù
说明[說明]	shuōmíng
硕士[碩士]	shuòshì
死[死]	sǐ
速度[速度]	sùdù
塑料袋[塑料袋]	sùliàodài
酸[酸]	suān
随便[隨便]	suíbiàn
随着[隨著]	suízhe
孙子[孫子]	sūnzi
所有[所有]	suǒyǒu
台[台]	tái
抬[擡]	tái
态度[態度]	tàidu
谈[談]	tán
弹钢琴[彈鋼琴]	tán gāngqín
汤[湯]	tāng
糖[糖]	táng
躺[躺]	tǎng
趟[趟]	tàng, tāng
讨论[討論]	tǎolùn
讨厌[討厭]	tǎoyàn
特点[特點]	tèdiǎn
提[提]	tí
提供[提供]	tígōng
提前[提前]	tíqián
提醒[提醒]	tíxǐng
填空[填空]	tiánkòng
条件[條件]	tiáojiàn
停[停]	tíng
挺[挺]	tǐng
通过[通過]	tōngguò
通知[通知]	tōngzhī
同情[同情]	tóngqíng
同时[同時]	tóngshí
推[推]	tuī
推迟[推遲]	tuīchí
脱[脫]	tuō
袜子[襪子]	wàzi
完全[完全]	wánquán
网球[網球]	wǎngqiú
网站[網站]	wǎngzhàn
往往[往往]	wǎngwǎng
危险[危險]	wēixiǎn
卫生间[衛生間]	wèishēngjiān
味道[味道]	wèidao
温度[溫度]	wēndù
文章[文章]	wénzhāng
污染[汙染]	wūrǎn
无[無]	wú
无聊[無聊]	wúliáo
无论[無論]	wúlùn
误会[誤會]	wùhuì
西红柿[西紅柿]	xīhóngshì
吸引[吸引]	xīyǐn
咸[鹹]	xián
现金[現金]	xiànjīn
羡慕[羨慕]	xiànmù
