//Chinese With Mike/Vocabulary/Greetings
你好	nǐ hǎo!	Hello; hi (You good?)
黄瓜	huángguā	Cucumber
凤梨	fènglí	Pineapple
西瓜	xīguā	Watermelon
蔬菜	shūcài	Vegetable(s)
菠菜	bōcài	Spinach
洋葱	yángcōng	Onion(s)
青椒	qīngjiāo	Green pepper(s)
玉米	yùmǐ	Corn
生菜	shēngcài	Lettuce
蘑菇 	mógū	Mushroom(s)
土豆	tǔdòu	Potato(es) (alternate 1)
马铃薯	mǎlíngshǔ	Potato(es) (alternate 2)
豆子	dòuzi	Bean(s)

//Chinese With Mike/Vocabulary/Animals
动物	dòngwù	Animals
狮子	shīzi	Lion
老鼠	lǎoshǔ	Mouse
老虎	lǎohǔ	Tiger
兔子	tùzi	Rabbit
大象	dàxiàng	Elephant
河马	hémǎ	Hippopotamus
猴子	hóuzi	Monkey
鱼	yú	Fish
马	mǎ	Horse
鸟	niǎo	Bird
斑马	bānmǎ	Zebra
臭鼬	chòuyòu	Skunk
熊	xióng	Bear
乌龟	wūguī	Turtle
恐龙	kǒnglóng	Dinosaur
青蛙	qīngwā	Frog
狗	gǒu	Dog
鹿	lù	Deer
猫	māo	Cat
無尾熊	wúwéixióng	Koala bear
牛	niú	Cow
鸡	jī	Chicken
猪	zhū 	Pig

//Chinese With Mike/Vocabulary/Numbers
零	líng	Zero
一	yī	One
二	èr	Two (for counting)
两	liǎng	Two (for everything except counting)
三	sān	Three
四	sì	Four
五	wǔ	Five
六	liù	Six
七	qī	Seven
八	bā	Eight
九	jiǔ	Nine
十	shí	10 
二十	èrshí	20 
三十	qīshí	70 
四十	sānshí	30 
五十	sìshí	40 
六十	wǔshí	50 
七十	liùshí	60 
八十	bāshí	80 
九十	jiǔshí	90 
一百	yìbǎi	100
千	qiān	1,000
万	wàn	10,000
亿	yì	100,000,0000
十六 	shíliù	16 
六十四 	liùshísì	64 
七十五 	qīshíwǔ	75 
九十七 	jiǔshíqī	97 

//Chinese With Mike/Vocabulary/Date & Time
星期	xīngqī	A week
礼拜	lǐbài	A week
周	zhōu	A week
星期一	xīngqīyī	Monday
星期二	xīngqī èr	Tuesday
星期三	xīngqīsān	Wednesday
星期四	xīngqīsì	Thursday
星期五	xīngqīwǔ	Friday
星期六	xīngqīliù	Saturday
星期日	xīngqírì	Sunday
星期天	xīngqítiān	Sunday (alternate)
月 	yuè	A month
一月	yīyuè	January
二月	èryuè	February
三月	sānyuè	March
四月	sìyuè	April
五月	wǔyuè	May
六月	liùyuè	June
七月	qīyuè	July
八月	bāyuè	August
九月	jiǔyuè	September
十月	shíyuè	October
十一月	shíyīyuè	November
十二月	shí èryuè	December
今天	jīntiān	Today
昨天	zuótiān	Yesterday
明天	míngtiān	Tomorrow
前天	qiántiān	The day before yesterday
后天	hòutiān	The day after tomorrow
现在	xiànzài	Now; at the present
生日	shēngrì	Birthday
几	jǐ	How much; how many
多少	duōshǎo	How much; how many (e.g. money)
点（钟）	diǎn(zhōng)	An hour of the day
一点（钟）	yī diǎn(zhōng)	1:00; One o’clock
两点（钟）	liǎng diǎn(zhōng)	2:00; Two o’clock
三点（钟）	sān diǎn(zhōng)	3:00; Three o’clock
四点（钟）	sì diǎn(zhōng)	4:00; Four o’clock
五点（钟）	wǔ diǎn(zhōng)	5:00; Five o’clock
六点（钟）	liù diǎn(zhōng)	6:00; Six o’clock
七点（钟）	qī diǎn(zhōng)	7:00; Seven o’clock
八点（钟）	bā diǎn(zhōng)	8:00; Eight o’clock
九点（钟）	jiǔ diǎn(zhōng)	9:00; Nine o’clock
十点（钟）	shí diǎn(zhōng)	10:00; Ten o’clock
十一点（钟）	shíyī diǎn(zhōng)	11:00; Eleven o’clock
十二点（钟）	shí èr diǎn(zhōng)	12:00; Twelve o’clock
半	bàn	Half; (half-past an hour)
时钟	shízhōng	A clock
春天	chūntiān	Spring
夏天	xiàtiān	Summer
秋天	qiūtiān	Fall; autumn
冬天	dōngtiān	Winter
节日	jiérì	A holiday; festival
情人节	qíngrénjié	Valentine’s Day
父亲节	fùqīnjié	Father’s Day
母亲节	mǔqīnjié	Mother’s Day
圣诞节	shèngdànjié	Christmas
斋月	zhāiyuè	Ramadan
春节	chūnjié	Chinese New Year
光明节	guāngmíngjié	Hanukkah
感恩节	gǎnēnjié	Thanksgiving
分	fēn	A minute (alternate 1)
钟	zhōng	A minute (alternate 2)
岁	suì	Year of age (years old)
号	hào(mǎ)	A number
年	nián	A year
前年	qiánnián	Two years ago
今年	jīnnián	This year
后年	hòunián	The year after the next
去年	qùnián	Last year
2011年	2011 nián	2011 (the year 2011)
明年	míngnián	Next year

//Chinese With Mike/Vocabulary/Places
电影院	diànyǐngyuàn	Movie theater
图书馆	túshūguǎn	Library
博物馆	bówùguǎn	Museum
美术馆	měishùguǎn	Art gallery/museum
公园	gōngyuán	Park
动物园	dòngwùyuán	Zoo
餐厅	cāntīng	Restaurant
游乐场	yóulèchǎng	Amusement park
赌场	dǔchǎng	Casino
酒吧	jiǔbā	Bar
海滩	hǎitān	Beach
学校	xuéxiào	School
咖啡厅	kāfēi tīng	Cafe

//Chinese With Mike/Vocabulary/Home
厨房	chúfáng	Kitchen
饭厅	fàntīng	Dining room
客厅	kètīng	Living room
卧室	wòshì	Bedroom
浴室	yùshì	Bathroom
洗衣房	xǐyīfáng	Laundry room
书房	shūfáng	Study
车库	chēkù	Garage
地下室	dìxiàshì	Basement
沙发	shāfā	Sofa
床	chuáng 	Bed
桌子	zhuōzi	Table
椅子	yǐzi	Chair
点	diǎn	Electric 
电脑	diànnǎo 	Computer
电视	diànshì	Television
电话	diànhuà 	Telephone
电话号码	diànhuà hàomǎ	Telephone number
影	yǐng	Shadow
电影	diànyǐng	Movie
书架	shūjià	Bookcase
冰箱	bīngxiāng	Refrigerator
烤箱	kǎoxiāng	Oven
微波炉	wēibōlú	Microwave
灯	dēng	Light
洗碗机	xǐwǎnjī	Dishwasher
洗衣机	xǐyījī	Washing machine
干衣机	gānyījī	Dryer (clothes)
镜子	jìngzi	Mirror
书	shū	Book
洋娃娃	yángwáwa 	Doll
房子	fángzi 	House
车子	chēzi 	Car
脚踏车	jiǎotàchē	Bicycle
摩托车	mótuō chē	Motorbike
马	mǎ	Horse
球	qiú 	Ball
树	shù 	Tree
玩具	wánjù 	Toy
签语饼	qiānyǔbǐng 	Fortune cookie
衣服	yīfú 	Clothes
报纸	bàozhǐ	Newspaper
杂志	zázhì	Magazine
元	yuán	Yuan (RMB)
块	kuài	Yuan (slang e.g. bucks)
气球	qìqiú	Balloon
洗完	xǐ wán	Washing up (washing the dishes)

//Chinese With Mike/Vocabulary/Weather
天气	tiānqì	The weather
太阳	tàiyáng	The sun
热	rè	Hot
月亮	yuèliàng	The moon
冷	lěng	Cold
星星	xīngxīng	Star(s)
风	fēng	Wind
云	yún	Cloud(s)

//Chinese With Mike/Vocabulary/Body
头	tóu	Head
头发	tóufǎ	Hair
眼睛	yǎnjīng	Eye(s)
耳朵	ěrduō	Ear(s)
鼻子	bízi	Nose
嘴巴	zuǐba	Mouth
牙齿	yáchǐ	Tooth(teeth)
手	shǒu	Hand
手臂	shǒubì	Arm
腿	tuǐ	Leg
脚	jiǎo	Foot(feet)
肚子	dùzi	Stomach
脖子	bózi	Neck
胡子	húzi	Beard
痛	tòng	Hurts (painful)
衣服	yīfú	clothes
T恤	t xù	T-shirt
衬衫	chènshān	buttoned shirt
裤子	kùzi	trousers
袜子	wàzi	socks
帽子	màozi	hat
钱	qián	Money

//Chinese With Mike/Vocabulary/Colours
颜色	yánsè	Colour(s)
绿色	lǜsè	Green
红色	hóngsè	Red
橙色	chéngsè	Orange
蓝色	lánsè	Blue
黄色	huángsè	Yellow
黑色	hēisè	Black
咖啡色	kāfēisè	Brown
白色	báisè	White
灰色	huīsè	Grey
紫色	zǐsè	Purple
粉红色	fēnhóngsè	Pink

//Chinese With Mike/Vocabulary/Occupations
医生	yīshēng	Doctor
消防员	xiāofángyuán	Firefighter
护士	hùshì	Nurse
警察	jǐngchá	Police officer
律师	lǜshī	Lawyer
厨师	chúshī	Chef
教授	jiàoshòu	Professor
工程师	gōngchéngshī	Engineer
老师	lǎoshī	Teacher
农民	nóngmín	Farmer
学生	xuéshēng	Student
军人	jūnrén	Soldier
秘书	mìshū	Secretary
商人	shāngrén	Businessman/woman

//Chinese With Mike/Vocabulary/Food & Drink
水	shuǐ	Water
茶	chá	Tea
牛奶	niúnǎi	Cow's milk
啤酒	píjiǔ	Beer
果汁	guǒzhī	Fruit juice
咖啡	kāfēi	Coffee
可乐	kělè	Cola
饭	fàn	Cooked rice (or meal)
面	miàn	Noodles
炒饭	chǎofàn	Fried rice
炒面	chǎomiàn	Fried Noodles (Chow Mein)
豆腐	dòufu	Tofu
汤	tāng	Soup
肉	ròu	Meat
牛肉	niúròu	Beef
鸡肉	jīròu	Chicken
猪肉	zhūròu	Pork
羊肉	yángròu	Lamb
筷子	kuàizi	Chopsticks
叉子	chāzi	Fork
刀子	dāozi	Knife
汤匙	tāngchí	Spoon
吸管	xīguǎn	Straw

//Chinese With Mike/Vocabulary/Sports
棒球	Bàngqiú	Baseball (lit. stick ball)
网球	Wǎngqiú	Tennis (lit. net ball)
排球	Páiqiú	Volleyball (lit. line ball)
乒乓球	Pīngpāng qiú	Table tennis
篮球	Lánqiú	Basketball (lit. basket ball)
足球	Zúqiú	Football (lit. foot ball)

//Chinese With Mike/Season 1/Ch 9: Nǐ hǎo!
你好	nǐ hǎo!	Hello; hi (You good?)
你好吗?	nǐ hǎo ma?	You good? How are you?
我很好	wǒ hěn hao.	I am fine/good/well.
你呢?	nǐ ne?	And you?
我也很好	wǒ yě hěn hǎo. 	I’m good/well/fine, too.
谢谢	xièxie 	Thank you

//Chinese With Mike/Season 1/Ch 10: More Basic Greetings
早上好	zǎoshàng hǎo	Good morning
下午好	xiàwǔ hǎo	Good afternoon
晚上好	wǎnshàng hǎo	Good evening
晚安	wǎn ān	Goodnight
是	shì	To be, is
老师	lǎoshī	Teacher
学生	xuéshēng	Student

//Chinese With Mike/Season 1/Ch 11: Pronouns
我是老师	wǒ shì lǎoshī	I am a teacher
你是学生	nǐ shì xuéshēng	You are a student
你是老师吗？	nǐ shì lǎoshī ma?	Are you a teacher?
他是学生	tā shì xuéshēng	He is a student.
我们是老师	wǒmen shì lǎoshī.	We are teachers.
他们是学生	tāmen shì xuéshēng.	They are students.
你们好	nǐmen hǎo!	Hello, you guys!
你们好吗？	nǐmen hǎo ma?	How are you guys?
我们很好	wǒmen hěn hǎo.	We are fine/well.

//Chinese With Mike/Season 1/Ch 12: Nationalities
我是中国人	wǒ shì Zhōngguórén.	I am Chinese.
你是日本人	nǐ shì Ribenrén.	You are Japanese.
她是意大利人	tā shì Yidalirén.	She is Italian.
他们是墨西哥人吗？	tāmen shì Mòxīgērén ma?	Are they Mexican?
你是阿根廷人吗？	nǐ shì Āgēntíngrén ma?	Are you Argentinian?
我是印度人	wǒ shì Yìndùrén	I am Indian.
你是罗马尼亚人	nǐ shì Luómǎníyàrén.	You are Romanian.
他是巴西人吗？	tā shì Bāxīrén ma?	Is he Brazilian?
老师是爱尔兰人	laoshi shì Àiěrlánrén.	The teacher is Irish.
你们是希腊人吗？	nǐmen shì Xīlàrén ma?	Are you guys Greek?

//Chinese With Mike/Season 1/Ch 13: Adjectives (xíngróngcí)
我很生气	wǒ hěn shēngqì.	I am (very) angry.
你很顽皮	nǐ hěn wánpí.	You are (very) naughty.
他们很有钱	tāmen hěn yǒuqián. 	They are (very) rich.
中国很大	Zhōngguó hěn dà.	China is (very) big.
台湾很小	Táiwān hěn xiǎo.	Taiwan is (very) small.
老师很辛苦	lǎoshī hěn xìnkǔ.	The teacher is (very) hardworking.
学生很懒惰	xuéshēng hěn lǎnduò.	The student(s) are (very) lazy.
美国人很聪明	Měiguórén hěn cōngmíng.	Americans are (very) intelligent.
我很舒服	wǒ hěn shūfú.	I am (very) comfortable.
你很伤心	nǐ hěn shāngxīn.	You are (very) sad.
他很可爱	tā hěn kěài.	He is (very) cute.
我们很贪心	wǒmen hěn tānxīn.	We are (very) greedy.
你们很疯	nǐmen hěn fēng.	You guys are (very) crazy.
他们很兴奋	tāmen hěn xìngfèn.	They are (very) excited.
老师很渴	lǎoshī hěn kě.	The teacher is (very) thirsty.
学生很年轻	xuéshēng hěn niánqīng.	The student(s) are (very) young.
德国人很壮	Déguórén hěn zhuàng.	Germans are (very) strong.
新加坡人很瘦	Xīnjiāpōrén hěn shòu.	Singaporeans are (very) thin.

//Chinese With Mike/Season 1/Ch 14: Review of Shì and Hěn
我很高兴	wǒ hěn gāoxìng.	I am happy.
你很帅	nǐ hěn shuài.	You are (very) handsome.
Sarah 很漂亮	Sarah hěn piàoliàng.	Sarah is (very) pretty/beautiful
我们很高	wǒmen hěn gāo.	We are (very) tall.
你们很累	nǐmen hěn lèi. 	You guys are (very) tired.
他们很壮	tāmen hěn zhuàng. 	They are (very) strong.
Taiwan 很漂亮	Táiwān hěn piàoliàng. 	Taiwan is (very) beautiful.
我是意大利人	wǒ shì Yìdàlìrén. 	I am Italian.
你是老师	nǐ shì lǎoshī. 	You are a teacher.
老师是英国人	lǎoshī shì Yīngguórén. 	The teacher is British.
学生是中国人	xuéshēng shì Zhōngguórén. 	The student(s) is/are Chinese.
John 是学生	John shì xuéshēng. 	John is a student.
他们是俄国人	tāmen shì éguórén. 	They are Russian.
中国很大吗？	Zhōngguó hěn dà ma?	Is China (very) big?
Mary 很聪明吗？	Mary hěn cōngmíng ma? 	Is Mary (very) intelligent?
老师很年轻吗？	lǎoshī hěn niánqīng ma? 	Is the teacher (very) young?
你很饿吗？	nǐ hěn è ma? 	Are you (very) hungry?
他们很渴吗？	tāmen hěn kě ma? 	Are they (very) thirsty?
你们是西班牙人吗？	nǐmen shì xībānyárén ma? 	Are you guys Spanish?
老师是美国人吗？	lǎoshī shì měiguórén ma? 	Is the teacher American?
Joseph 是学生吗？	Joseph shì xuéshēng ma? 	Is Joseph a student?
你是老师吗？	nǐ shì lǎoshī ma?	Are you a/the teacher?
他们是加拿大人吗？	tāmen shì jiānádàrén ma?	Are they Canadian?

//Chinese With Mike/Season 1/Ch 15: Possessives
我的老师	wǒde lǎoshī	My teacher
你的书	nǐde shū	Your book
他的猫	tāde māo	His/Her cat
我们的狗	wǒmende gǒu	Our dog
你们的爸爸	nǐmende bàba	Your (pl.) dad
他们的妈妈	tāmende māma	Their mom
老师的学生	lǎoshīde xuéshēng	The teacher’s student(s)
水是我的	shuǐ shì wǒde.	The water is mine.
车（子）是你的	chē(zi）shì nǐde.	The car is yours.
书是他的	shū shì tāde.	The book is his/hers.
老师是我们的	lǎoshī shì wǒmende.	The teacher is ours.
猫是你们的	māo shì nǐmende.	The cat is yours (pl.).
狗是他们的	gǒu shì tāmende.	The dog is theirs.
猫是老师的	māo shì lǎoshīde.	The cat is the teacher’s.

//Chinese With Mike/Season 1/Ch 16: More Possessives, Family Members
我的妹妹是学生	wǒde mèimei shì xuéshēng.	My younger sister is a student.
你的哥哥很勤劳	nǐde gēge hěn qínláo.	Your older brother is hardworking.
他们的弟弟很懒惰，也很笨	tāmende dìdi hěn lǎnduò, yě hěn bèn.	Their younger brother is lazy and stupid.
我们的母亲是英国人	wǒmende mǔqīn shì yīngguórén.	Our mother is British.
老师的姐姐很漂亮	lǎoshīde jiějie hěn piàoliàng.	The teacher’s older sister is pretty.
我的老婆是台湾人	wǒde lǎopó shì Táiwānrén.	My wife is Taiwanese.
他的爷爷很老	tāde yéye hěn lǎo.	His/Her grandpa is old.
学生的老师很矮	xuéshēngde lǎoshī hěn ǎi.	The students’ teacher is short.
你们的狗很可爱吗？	nǐmende gǒu hěn kě ài ma?	Is your (pl.) dog cute?
他们的书很难吗？	tāmende shū hěn nán ma?	Is their book difficult?
你的女朋友是中国人吗？	nǐde nǚpéngyǒu shì Zhōngguórén ma?	Is your girlfriend Chinese?
他们的表哥很聪明吗？	tāmende biǎogē hěn cōngmíng ma?	Is their cousin intelligent?
他的爸爸妈妈很有钱吗？	tāde bàbamāma hěn yǒuqián ma?	Are his/her mom and dad rich?
你的外公是老师吗？	nǐde wàigōng shì lǎoshī ma?	Is your grandpa a teacher?
他们的父母是巴西人吗？	tāmende fùmǔ shì bāxīrén ma?	Are their parents Brazilian?

//Chinese With Mike/Season 1/Ch 17: Yes and No, More Possessives Practice, Family
你是中国人吗?	Nǐ shì zhōngguórén ma?	Are you a Chinese person?
是,我是中国人	Shì. Wǒ shì zhōngguórén.	Yes, I am. I am Chinese.
不是,我不是中国人	Bú shì. Wǒ bú shì zhōngguórén.	No, I am not. I am not Chinese
他是老师吗?	Tā shì lǎoshī ma?	Is he a teacher?
是, 他是老师	Shì. Tā shì lǎoshī.	Yes, he. He is a teacher.
不是, 他不是老师	Bú shì. Tā bú shì lǎoshī.	No, he is not. He is not a teacher.
他们是日本人吗?	Tāmen shì rìběnrén ma?	Are they Japanese people?
是,他们是日本人	Shì. Tāmen shì rìběnrén.	Yes, they are. They are Japanese.
不是,他们不是日本人	Bú shì. Tāmen bú shì rìběnrén.	No, they are not. They are not Japanese.
你的外婆是学生吗?	Nǐde wàipó shì xúeshēng ma?	Is your grandmother a student?
是,我的外婆是学生	Shì. Wǒde wàipó shì xuéshēng.	Yes, she is. My grandmother is a student.
不是,我的外婆不是学生	Bú shì. Wǒde wàipó bú shì xuéshēng.	No, she is not. My grandmother is not a student.
我的妈妈的老公是我的爸爸吗?	Nǐde māmade lǎogōng shì nǐde bàba ma?	Is your mom’s husband your dad?
是,他是我的爸爸.	Shì. Tā shì wǒde bàba.	Yes, he is. He is my dad.
