//HSK 3 Examples
5|点|1|刻	5 diǎn 1 kè	Quarter past 5
真漂亮啊！	zhēn piàoliang a!	Very pretty!
他没去看电影。	tā méi qù kàn diànyǐng.	He didn't go to the movie.
别忘了带护照。	bié wàngle dài hùzhào.	Don't forget to bring your passport.
你决定了没有？	nǐ juédìngle méiyǒu?	have you decided yet?
您要两张票，对吗？	nín yào liǎng zhāng piào, duì ma?	You need two tickets, right?
中午吃面条儿，可以吗？	zhōngwǔ chī miàntiáo er, kěyǐ ma?	Noodles for lunch, can we?
你喝茶还是喝咖啡？	nǐ hē chá háishì hē kāfēi?	Do you want tea or coffee?
真干净！	zhēn gānjìng!	So clean!
他跑得多快啊！	tā pǎo de duō kuài a!	He ran very fast.
好极了！	hǎo jíle!	Great!
他和我一样高。	tā hé wǒ yīyàng gāo.	He and I are the same height.
上海没有北京那么冷。	Shànghǎi méiyǒu Běijīng nàme lěng.	Shanghai is not as cold as Beijing.
我把衣服洗了。	wǒ bǎ yīfú xǐle.	I had the clothes washed.
行李箱被司机拿走了。	xínglǐxiāng bèi sījī ná zǒule.	The luggage was taken by the driver.
他每天骑车上班。	tā měi tiān qí chē shàngbān.	He bikes to work every day.
桌上放着一本书。	zhuō shàng fàngzhe yī běn shū.	There is a book on the table.
小王叫我去他家玩儿。	xiǎo wáng jiào wǒ qù tā jiā wán er.	Xiao Wang asked me to his house to play.
不但…而且…	bùdàn… érqiě	Not only... but also...
只有…才…	zhǐyǒu… cái…	Only... can...
我学中文很有{热情}。	rèqíng	I am {enthusiastic} about studying Chinese.
今天我有很多{事情}要做。	shìqing	Today I have lots of {things} to do.
我{同意}你的话。	tóngyì	I {agree} with what you said. {(lit. same opinion)}
我{愿意}和你一起去。	yuànyì	I am {willing} to go with you. 
请大家{注意}。	zhùyì	Please {pay attention} Everyone.
我对你做的菜很{满意}。	mǎnyì	I am {pleased} with your cooking.
这是什么{意思}？	yìsi	What does this {mean}?
我很{习惯}吃中国菜。	xíguàn	I am {accustomed to} eating Chinese food.
我天天{练习}中文。	liànxí	I {practice} Chinese every day.
我{复习}汉语水平考试。	fùxí	I am {revising} for the HSK exam.
我喜欢学{数学}。	shùxué	I like studying {maths}.
我在加拿大{留学}。	liúxué	I am {studying abroad} in Canada.
我们的{校长}很胖。	xiàozhǎng	Our {principal/head} is fat.
春节是中国最重要的{节日}。	jiérì	Spring festival is China's most important {holiday}.
今天的电视{节目}很好看。	jiémù	Today's TV {programmes} look very good.
我最喜欢的{季节}是夏季。	jìjié	My favourite {season} is summer.
我{先}吃饭，再去睡觉。	xiān	I eat {first}, then sleep.
你为什么{生气}	shēngqì	Why are you {upset}?
我喜欢和妈妈{聊天}。	liáotiān	I like to {chat} with my mother.
我们的花{特别}香。	tèbié	Our flowers smell {especially} good.
我{不但}说中文，还说英文。	búdàn	I {not only} speak Chinese, also English.
你想吃包子{还是}饺子？	háishi	Do you want to eat buns {or} dumplings?
你的三明治{总是}特别好吃|！	zǒngshì	Your sandwiches are {always} especiallys good!
我|今天{还}没有|吃|午饭|。	hái	I haven't eaten lunch today {yet}.


























