//HSK 3 Examples
5|点|1|刻	5 diǎn 1 kè	Quarter past 5
我们|应该|在|周末|开个|会|。	wǒmen yīnggāi zài zhōumò kāi gè huì.	We should have a meeting at the weekend.
你|愿意|和|我|结婚|吗|？	nǐ yuànyì hé wǒ jiéhūn ma?	Are you willing to marry me?
你|敢|骑马|吗|？	nǐ gǎn qímǎ ma?	Do you dare to ride a horse?
她|高兴|地|笑了|。	tā gāoxìng de xiàole.	She laughed happily.
他|是|经理|吗|？	tā shì jīnglǐ ma?	Is he the manager?
真|漂亮|啊|！	zhēn piàoliang a!	Very pretty!
他|没|去|看|电影|。	tā méi qù kàn diànyǐng.	He didn't go to the movie.
别|忘了|带|护照|。	bié wàngle dài hùzhào.	Don't forget to bring your passport.
你|决定了|没有|？	nǐ juédìngle méiyǒu?	have you decided yet?
您|要|两|张|票|，|对吗|？	nín yào liǎng zhāng piào, duì ma?	You need two tickets, right?
中午|吃|面条儿|，|可以|吗|？	zhōngwǔ chī miàntiáo er, kěyǐ ma?	Noodles for lunch, can we?
你|喝|茶|还是|喝|咖啡|？	nǐ hē chá háishì hē kāfēi?	Do you want tea or coffee?
真|干净|！	zhēn gānjìng!	So clean!
他|跑得|多|快|啊|！	tā pǎo de duō kuài a!	He ran very fast.
好|极了|！	hǎo jíle!	Great!
他|和|我|一样|高|。	tā hé wǒ yīyàng gāo.	He and I are the same height.
上海|没有|北京|那么|冷|。	Shànghǎi méiyǒu Běijīng nàme lěng.	Shanghai is not as cold as Beijing.
我|把|衣服|洗了|。	wǒ bǎ yīfú xǐle.	I had the clothes washed.
行李箱|被|司机|拿|走了|。	xínglǐxiāng bèi sījī ná zǒule.	The luggage was taken by the driver.
他|每天|骑|车|上班|。	tā měi tiān qí chē shàngbān.	He bikes to work every day.
桌|上|放着|一|本|书|。	zhuō shàng fàngzhe yī běn shū.	There is a book on the table.
小|王|叫|我|去|他|家|玩|儿|。	xiǎo wáng jiào wǒ qù tā jiā wán er.	Xiao Wang asked me to his house to play.
不但|X|而且|Y	bùdàn X érqiě Y	Not only X but also Y
只有|X|才|Y	zhǐyǒu X cái Y	Only X can Y
我|学|中文|很|有{热情}。	wǒ xué zhōngwén hěn yǒu {rèqíng}.	I am {enthusiastic} about studying Chinese.
今天|我|有|很多{事情}要|做|。	jīntiān wǒ yǒu hěnduō {shìqíng} yào zuò.	Today I have lots of {things} to do.
我{同意}你的|话|。	wǒ {tóngyì} nǐ de huà.	I {agree} with what you said. {(lit. same opinion)}
我{愿意}和|你|一起|去|。	wǒ {yuànyì} hé nǐ yīqǐ qù.	I am {willing} to go with you. 
请|大家{注意}。	qǐng dàjiā {zhùyì}.	Please {pay attention} Everyone.
我|对|你|做的|菜|很{满意}。	wǒ duì nǐ zuò de cài hěn {mǎnyì}.	I am {pleased} with your cooking.
这|是|什么{意思}？	zhè shì shénme {yìsi}?	What does this {mean}?
我|很{习惯}吃|中国菜|。	wǒ hěn {xíguàn} chī zhōngguó cài.	I am {accustomed to} eating Chinese food.
我|天天{练习}中文|。	wǒ tiāntiān {liànxí} zhōngwén.	I {practice} Chinese every day.
我{复习}汉语|水平|考试|。	wǒ {fùxí} hànyǔ shuǐpíng kǎoshì.	I am {revising} for the HSK exam.
我|喜欢|学{数学}。	wǒ xǐhuan xué {shùxué}.	I like studying {maths}.
我|在|加拿大{留学}。	wǒ zài jiānádà {liúxué}.	I am {studying abroad} in Canada.
我们|的{校长}很|胖。	wǒmen de {xiàozhǎng} hěn pàng.	Our {principal/head} is fat.
春节|是|中国|最|重要的{节日}。	chūnjié shì zhōngguó zuì zhòngyào de {jiérì}.	Spring festival is China's most important {holiday}.
今天|的|电视{节目}很|好|看。	jīntiān de diànshì {jiémù} hěn hǎo kàn.	Today's TV {programmes} look very good.
我|最|喜欢|的{季节}是|夏季。	wǒ zuì xǐhuan de {jìjié} shì xiàjì.	My favourite {season} is summer.
我{先}吃饭|，|再去|睡觉。	wǒ {xiān} chīfàn zàiqù shuìjiào.	I eat {first}, then sleep.
你|为什么{生气}？	nǐ wèishéme {shēngqì}?	Why are you {upset}?
我|喜欢|和|妈妈{聊天}。	wǒ xǐhuan hé māmā {liáotiān}.	I like to {chat} with my mother.
我们|的|花{特别}香。	wǒmen de huā {tèbié} xiāng.	Our flowers smell {especially} good.
我{不但}说|中文|，|还|说|英文。	wǒ {bùdàn} shuō zhōngwén, hái shuō yīngwén.	I {not only} speak Chinese, also English.
你|想|吃|包子{还是}饺子？	nǐ xiǎng chī bāozi {háishì} jiǎozi?	Do you want to eat buns {or} dumplings?
你的|三明治{总是}特别|好吃|！	nǐ de sānmíngzhì {zǒng shì} tèbié hào chī!	Your sandwiches are {always} especiallys good!
我|今天{还}没有|吃|午饭|。	wǒ jīntiān {hái} méiyǒu chī wǔfàn.	I haven't eaten lunch today {yet}.
