// HSK 2 Examples
6{元}	6 {yuán}	{RMB}6
{第}三	{dì} sān	3{rd}
9{公斤}	9 {gōngjīn}	9{kg}
他|对|我|很|好|。	tā duì wǒ hěn hǎo．	He is nice to me.									Hij is goed voor mij. 
我|比|她|高|。	wǒ bǐ tā gāo．	I am taller than her.										Ik ben groter dan zij.
向|左|走|。	xiàng zuǒ zǒu．	Go left.												Ga naar links.
学校|离|我|家|很|近|。	xuéxiào lí wǒ jiā hěn jìn．	School is close to my home.							De school is dicht bij mijn huis.
现在|你|可以|走|了|。	xiànzài nǐ kěyǐ zǒu le．	Now you can go.										Nu kan je gaan.
我|要|学|游泳|。	wǒ yào xué yóuyǒng．	I want to learn to swim.								Ik wil leren zwemmen.
明天|可能|下雨|。	míngtiān kěnéng xiàyǔ．	It might rain tomorrow.									Het kan morgen regenen.
书|是|哥哥|的|。	shū shì gēge de．	The book is my older brother's.									Het boek is van mijn oudere broer.
那个|杯子|是|我|的|。	nàge bēizi shì wǒ de．	That cup is mine.									Dat kopje is van mijn.
这|件|衣服|是|最|便宜|的|。	zhè jiàn yīfu shì zuì piányi de．	This item of clothing is the cheapest.					Dit kledingstuk is het goedkoopst. 
我|买了|一些|吃的|。	wǒ mǎile yìxiē chīde．	I bought some food.									Ik kocht wat voedsel.
那边|打|电话|的|是|我|丈夫|。	nàbiān dǎ diànhuà de shì wǒ zhàngfu．	My husband is making a phone call there.			Mijn man belt even naar daar.
你|做|得|对|。	nǐ zuò de duì．	You did the right thing.									Je hebt het juiste gedaan.
现在|快|10|点|了|吧|？	xiànzài kuài 10 diǎn le ba?	It's almost 10 o'clock?							Is het bijna 10 uur? 
她|笑着|说|：“|明天|见|。”	tā xiàozhe shuō: "míngtiān jiàn."	She smiled and said "see you tomorrow."				Ze lachtte en zij "ik zie je morgen".
我|买了|一|本|书|。	wǒ mǎile yì běn shū．	I bought a book.									Ik kocht een boek.
我|学过|汉语|。	wǒ xuéguo Hànyǔ．	I studied Chinese before.									Ik heb (al) Chinees gestudeerd. 
你|去|问问|他|。	nǐ qù wènwen tā．	You go and ask him.										Ga en vraag het hem. 
让|我|想一想|。	ràng wǒ xiǎngyixiǎng．	Let me have a think.									Laat mij even denken.
你|是|中国人|吧|？	nǐ shì Zhōngguórén ba?	Are you Chinese?									Ben jij een Chinees ?
他|为什么|没|来|？	tā wèishénme méi lái?	Why isn't he here?									Waarom is hij hier niet? 
从|这儿|到|那儿|多|远|？	cóng zhèr dào nàr duō yuǎn?	How far is it from here to there?					Hoe ver is het van hier tot daar ?
你|喝不喝|茶|？	nǐ hēbuhē chá?	Do you want some tea? (lit. Do you drink tea?)							Wil je wat thee ? (lett. Drink jij thee?)
我们|一起|去|，|好吗|？	wǒmen yìqǐ qù, hǎoma?	Can we go together?									Gaan we samen?
别|说话|。	bié shuōhuà．	Don't speak.												Zwijg. (lett. Spreek niet)
不要|吃|太|多|。	búyào chī tài duō．	Don't eat too much.									Eet niet te veel.
真|好吃！	zhēn hǎochī!	Really yummy!												Echt zeer smakelijk!
今天|比|昨天|冷|。	jīntiān bǐ zuótiān lěng．	Today is colder than yesterday.								Vandaag is het kouder dan gisteren.
他们|正在|打|篮球|。	tāmen zhèngzài dǎ lánqiú．	They are playing basketball.							Ze zijn basketbal aan het spelen.
他|买了|一|斤|苹果|。	tā mǎile yì jīn píngguǒ．	He bought 500g of apples.								Hij kocht 500gr appelen.  
我|看{过}这个|电影|。	wǒ kàn {guò} zhè gè diàn yǐng.	I {saw} this movie.								Ik {zag} deze film.
火车|要|开|了|。	huǒchē yào kāi le．	The train is about to leave.								De trein staat op het punt te vertrekken.
外面|下着|雨|。	wàimiàn xiàzhe yǔ.	It's raining outside.									Het is buiten aan het regenen.
